DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
581.6426E-9	-582.7352E-9	-1.9266E-9	-20.0000E+0	#REF	-236.6185E-6	13.1152E+0	1.1618E-6	-1.1632E-6	-1.7262E-9	-20.0000E+0	#REF	-434.6466E-6	11.3113E+0
762.6778E-9	-763.7032E-9	-1.7140E-9	-19.0000E+0	181.0351E-9	-229.4732E-6		1.5184E-6	-1.5197E-6	-1.5104E-9	-19.0000E+0	356.6046E-9	-420.7651E-6	
979.0199E-9	-980.1785E-9	-1.5392E-9	-18.0000E+0	216.3421E-9	-222.3279E-6		1.9450E-6	-1.9463E-6	-1.4106E-9	-18.0000E+0	426.6192E-9	-406.8837E-6	
1.2375E-6	-1.2387E-6	-1.3630E-9	-17.0000E+0	258.5032E-9	-215.1826E-6		2.4488E-6	-2.4500E-6	-1.3063E-9	-17.0000E+0	503.8110E-9	-393.0022E-6	
1.5404E-6	-1.5416E-6	-1.2213E-9	-16.0000E+0	302.9719E-9	-208.0373E-6		3.0441E-6	-3.0453E-6	-1.2304E-9	-16.0000E+0	595.2754E-9	-379.1208E-6	
1.8931E-6	-1.8942E-6	-1.0318E-9	-15.0000E+0	352.6266E-9	-200.8920E-6		3.7247E-6	-3.7258E-6	-1.1501E-9	-15.0000E+0	680.5919E-9	-365.2393E-6	
2.2918E-6	-2.2930E-6	-1.0185E-9	-14.0000E+0	398.7706E-9	-193.7467E-6		4.5329E-6	-4.5340E-6	-1.0708E-9	-14.0000E+0	808.2638E-9	-351.3579E-6	
2.7612E-6	-2.7622E-6	-921.8972E-12	-13.0000E+0	469.3634E-9	-186.6014E-6		5.4420E-6	-5.4518E-6	-950.6507E-12	-13.0000E+0	909.0568E-9	-337.4764E-6	
3.2874E-6	-3.2885E-6	-865.7545E-12	-12.0000E+0	526.2175E-9	-179.4561E-6		6.4964E-6	-6.5061E-6	-862.9246E-12	-12.0000E+0	1.0544E-6	-323.5950E-6	
3.8955E-6	-3.8966E-6	-781.0099E-12	-11.0000E+0	608.1161E-9	-172.3107E-6		7.7369E-6	-7.7465E-6	-792.2283E-12	-11.0000E+0	1.2405E-6	-309.7135E-6	
4.5931E-6	-4.5942E-6	-672.9189E-12	-10.0000E+0	697.5456E-9	-165.1654E-6		9.1301E-6	-9.1395E-6	-710.4652E-12	-10.0000E+0	1.3931E-6	-295.8321E-6	
5.3743E-6	-5.3838E-6	-610.8638E-12	-9.0000E+0	781.2405E-9	-158.0201E-6		10.7059E-6	-10.7153E-6	-619.4545E-12	-9.0000E+0	1.5758E-6	-281.9506E-6	
6.2919E-6	-6.3014E-6	-506.9671E-12	-8.0000E+0	917.5510E-9	-150.8748E-6		12.5123E-6	-12.5217E-6	-511.9193E-12	-8.0000E+0	1.8064E-6	-268.0692E-6	
7.3211E-6	-7.3304E-6	-426.1136E-12	-7.0000E+0	1.0292E-6	-143.7295E-6		14.5866E-6	-14.5958E-6	-409.6902E-12	-7.0000E+0	2.0743E-6	-254.1877E-6	
8.5007E-6	-8.5101E-6	-338.2359E-12	-6.0000E+0	1.1795E-6	-136.5842E-6		16.9123E-6	-16.9215E-6	-333.5868E-12	-6.0000E+0	2.3256E-6	-240.3063E-6	
9.8730E-6	-9.8822E-6	-265.1139E-12	-5.0000E+0	1.3722E-6	-129.4389E-6		19.6068E-6	-19.6159E-6	-265.0634E-12	-5.0000E+0	2.6944E-6	-226.4248E-6	
11.4303E-6	-11.4394E-6	-171.6729E-12	-4.0000E+0	1.5572E-6	-122.2936E-6		22.6524E-6	-22.6612E-6	-195.3743E-12	-4.0000E+0	3.0455E-6	-212.5434E-6	
13.2324E-6	-13.2414E-6	-90.9669E-12	-3.0000E+0	1.8020E-6	-115.1483E-6		26.1243E-6	-26.1330E-6	-112.2932E-12	-3.0000E+0	3.4719E-6	-198.6619E-6	
15.2681E-6	-15.2770E-6	-12.4846E-12	-2.0000E+0	2.0356E-6	-108.0029E-6		29.9997E-6	-30.0083E-6	-41.3406E-12	-2.0000E+0	3.8753E-6	-184.7805E-6	
17.4972E-6	-17.5061E-6	71.6072E-12	-1.0000E+0	2.2291E-6	-100.8576E-6		34.3967E-6	-34.4051E-6	11.8737E-12	-1.0000E+0	4.3970E-6	-170.8990E-6	
20.0224E-6	-20.0311E-6	146.6531E-12	000.0000E-3	2.5251E-6	-93.7123E-6		39.2472E-6	-39.2558E-6	106.4770E-12	000.0000E-3	4.8505E-6	-157.0176E-6	
22.6864E-6	-22.6950E-6	218.1110E-12	1.0000E+0	2.6640E-6	-86.5670E-6		44.5981E-6	-44.6066E-6	189.7603E-12	1.0000E+0	5.3509E-6	-143.1361E-6	
25.5941E-6	-25.6026E-6	265.7664E-12	2.0000E+0	2.9077E-6	-79.4217E-6		50.1204E-6	-50.2192E-6	199.0084E-12	2.0000E+0	5.5222E-6	-129.2547E-6	
28.6692E-6	-28.6776E-6	358.3483E-12	3.0000E+0	3.0750E-6	-72.2763E-6		56.3990E-6	-56.4962E-6	314.6347E-12	3.0000E+0	6.2786E-6	-115.3732E-6	
31.8644E-6	-31.8727E-6	426.1170E-12	4.0000E+0	3.1951E-6	-65.1310E-6		62.8416E-6	-62.9395E-6	374.3176E-12	4.0000E+0	6.4425E-6	-101.4918E-6	
35.1899E-6	-35.1980E-6	489.6913E-12	5.0000E+0	3.3254E-6	-57.9857E-6		69.6281E-6	-69.7259E-6	458.5105E-12	5.0000E+0	6.7865E-6	-87.6103E-6	
38.7193E-6	-38.7275E-6	563.7770E-12	6.0000E+0	3.5293E-6	-50.8404E-6		76.7237E-6	-76.8200E-6	528.2503E-12	6.0000E+0	7.0956E-6	-73.7288E-6	
42.2367E-6	-42.2448E-6	640.4906E-12	7.0000E+0	3.5174E-6	-43.6951E-6		84.2100E-6	-84.3058E-6	595.4631E-12	7.0000E+0	7.4862E-6	-59.8474E-6	
45.9424E-6	-45.9503E-6	721.0955E-12	8.0000E+0	3.7057E-6	-36.5498E-6		91.7750E-6	-91.8705E-6	691.8857E-12	8.0000E+0	7.5650E-6	-45.9659E-6	
49.7309E-6	-49.7387E-6	813.3741E-12	9.0000E+0	3.7884E-6	-29.4045E-6		99.6211E-6	-99.7166E-6	748.2333E-12	9.0000E+0	7.8461E-6	-32.0845E-6	
53.5531E-6	-53.6479E-6	786.3879E-12	10.0000E+0	3.8221E-6	-22.2592E-6		107.6128E-6	-107.7077E-6	831.0112E-12	10.0000E+0	7.9916E-6	-18.2030E-6	
57.6497E-6	-57.7451E-6	914.0923E-12	11.0000E+0	4.0966E-6	-15.1139E-6		115.9620E-6	-116.0565E-6	891.1995E-12	11.0000E+0	8.3491E-6	-4.3215E-6	
61.7498E-6	-61.8440E-6	961.6465E-12	12.0000E+0	4.1000E-6	-7.9686E-6		124.4544E-6	-124.5497E-6	966.0938E-12	12.0000E+0	8.4924E-6	9.5598E-6	
65.9106E-6	-66.0050E-6	1.0596E-9	13.0000E+0	4.1607E-6	-823.2892E-9		133.3083E-6	-133.4027E-6	1.0216E-9	13.0000E+0	8.8539E-6	23.4413E-6	
70.1970E-6	-70.2916E-6	1.1420E-9	14.0000E+0	4.2864E-6	6.3220E-6		142.1223E-6	-142.2171E-6	1.1122E-9	14.0000E+0	8.8139E-6	37.3227E-6	
74.5867E-6	-74.6810E-6	1.2420E-9	15.0000E+0	4.3897E-6	13.4673E-6		151.0694E-6	-151.1635E-6	1.1879E-9	15.0000E+0	8.9471E-6	51.2042E-6	
79.0993E-6	-79.1931E-6	1.3141E-9	16.0000E+0	4.5126E-6	20.6126E-6		160.4163E-6	-160.5110E-6	1.2923E-9	16.0000E+0	9.3468E-6	65.0856E-6	
83.7114E-6	-83.8045E-6	1.3490E-9	17.0000E+0	4.6121E-6	27.7579E-6		169.9215E-6	-170.0165E-6	1.3818E-9	17.0000E+0	9.5052E-6	78.9671E-6	
