DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
337.0419E-9	-337.1661E-9	-1.8821E-9	-20.0000E+0	#REF	-132.2237E-6	13.3545E+0	615.7836E-9	-616.9698E-9	-1.7105E-9	-20.0000E+0	#REF	-285.7205E-6	14.9689E+0
443.7074E-9	-443.8065E-9	-1.6826E-9	-19.0000E+0	106.6654E-9	-128.2595E-6		805.6082E-9	-806.8070E-9	-1.5642E-9	-19.0000E+0	189.8246E-9	-277.5498E-6	
574.1101E-9	-575.3332E-9	-1.5342E-9	-18.0000E+0	130.4027E-9	-124.2953E-6		1.0389E-6	-1.0401E-6	-1.4250E-9	-18.0000E+0	233.3351E-9	-269.3791E-6	
724.1643E-9	-725.2626E-9	-1.3851E-9	-17.0000E+0	150.0542E-9	-120.3311E-6		1.3181E-6	-1.3193E-6	-1.3072E-9	-17.0000E+0	279.2431E-9	-261.2084E-6	
903.5080E-9	-904.7346E-9	-1.2538E-9	-16.0000E+0	179.3437E-9	-116.3670E-6		1.6522E-6	-1.6534E-6	-1.1770E-9	-16.0000E+0	334.0837E-9	-253.0377E-6	
1.1136E-6	-1.1148E-6	-1.1141E-9	-15.0000E+0	210.1655E-9	-112.4028E-6		2.0250E-6	-2.0262E-6	-1.0764E-9	-15.0000E+0	372.8109E-9	-244.8670E-6	
1.3509E-6	-1.3521E-6	-975.5636E-12	-14.0000E+0	237.3176E-9	-108.4386E-6		2.4683E-6	-2.4695E-6	-960.9595E-12	-14.0000E+0	443.2293E-9	-236.6963E-6	
1.6168E-6	-1.6178E-6	-877.0740E-12	-13.0000E+0	265.8522E-9	-104.4744E-6		2.9703E-6	-2.9715E-6	-888.4945E-12	-13.0000E+0	502.0543E-9	-228.5256E-6	
1.9207E-6	-1.9218E-6	-841.4479E-12	-12.0000E+0	303.9489E-9	-100.5102E-6		3.5555E-6	-3.5565E-6	-840.6899E-12	-12.0000E+0	585.1502E-9	-220.3549E-6	
2.2674E-6	-2.2684E-6	-775.6534E-12	-11.0000E+0	346.7071E-9	-96.5459E-6		4.1962E-6	-4.1973E-6	-750.2351E-12	-11.0000E+0	640.7647E-9	-212.1842E-6	
2.6615E-6	-2.6626E-6	-675.1929E-12	-10.0000E+0	394.0834E-9	-92.5818E-6		4.9196E-6	-4.9206E-6	-672.7168E-12	-10.0000E+0	723.3607E-9	-204.0135E-6	
3.1023E-6	-3.1033E-6	-582.1608E-12	-9.0000E+0	440.7539E-9	-88.6176E-6		5.7024E-6	-5.7118E-6	-631.7846E-12	-9.0000E+0	782.7621E-9	-195.8428E-6	
3.5930E-6	-3.5940E-6	-474.4741E-12	-8.0000E+0	490.6969E-9	-84.6534E-6		6.6541E-6	-6.6635E-6	-533.8003E-12	-8.0000E+0	951.7021E-9	-187.6721E-6	
4.1500E-6	-4.1510E-6	-398.9266E-12	-7.0000E+0	557.0407E-9	-80.6892E-6		7.6798E-6	-7.6892E-6	-439.7070E-12	-7.0000E+0	1.0257E-6	-179.5014E-6	
4.7799E-6	-4.7808E-6	-303.1657E-12	-6.0000E+0	629.8646E-9	-76.7250E-6		8.8667E-6	-8.8760E-6	-355.5689E-12	-6.0000E+0	1.1868E-6	-171.3307E-6	
5.4608E-6	-5.4698E-6	-290.2291E-12	-5.0000E+0	680.8914E-9	-72.7608E-6		10.1887E-6	-10.1980E-6	-254.7541E-12	-5.0000E+0	1.3220E-6	-163.1600E-6	
6.2753E-6	-6.2844E-6	-194.9700E-12	-4.0000E+0	814.5553E-9	-68.7966E-6		11.6984E-6	-11.7075E-6	-191.9379E-12	-4.0000E+0	1.5097E-6	-154.9893E-6	
7.1971E-6	-7.2062E-6	-103.3989E-12	-3.0000E+0	921.7893E-9	-64.8324E-6		13.3599E-6	-13.3689E-6	-90.6132E-12	-3.0000E+0	1.6614E-6	-146.8186E-6	
8.2359E-6	-8.2450E-6	-4.7526E-12	-2.0000E+0	1.0388E-6	-60.8682E-6		15.2498E-6	-15.2587E-6	-15.9211E-12	-2.0000E+0	1.8898E-6	-138.6479E-6	
9.3810E-6	-9.3899E-6	67.4127E-12	-1.0000E+0	1.1450E-6	-56.9040E-6		17.3611E-6	-17.3700E-6	31.5827E-12	-1.0000E+0	2.1112E-6	-130.4772E-6	
10.6459E-6	-10.6548E-6	142.6608E-12	000.0000E-3	1.2648E-6	-52.9398E-6		19.7108E-6	-19.7196E-6	99.1998E-12	000.0000E-3	2.3497E-6	-122.3065E-6	
12.0153E-6	-12.0241E-6	231.3009E-12	1.0000E+0	1.3694E-6	-48.9756E-6		22.2712E-6	-22.2799E-6	193.4494E-12	1.0000E+0	2.5604E-6	-114.1358E-6	
13.4919E-6	-13.5007E-6	276.0757E-12	2.0000E+0	1.4765E-6	-45.0114E-6		25.0818E-6	-25.0904E-6	270.5167E-12	2.0000E+0	2.8106E-6	-105.9651E-6	
15.0631E-6	-15.0718E-6	359.6622E-12	3.0000E+0	1.5712E-6	-41.0472E-6		28.0600E-6	-28.0685E-6	337.9823E-12	3.0000E+0	2.9781E-6	-97.7944E-6	
16.7123E-6	-16.7208E-6	440.9746E-12	4.0000E+0	1.6492E-6	-37.0831E-6		31.2699E-6	-31.2783E-6	411.6132E-12	4.0000E+0	3.2099E-6	-89.6237E-6	
18.4454E-6	-18.4540E-6	508.2885E-12	5.0000E+0	1.7331E-6	-33.1189E-6		34.6466E-6	-34.6549E-6	469.0726E-12	5.0000E+0	3.3766E-6	-81.4530E-6	
20.2462E-6	-20.2547E-6	577.2195E-12	6.0000E+0	1.8007E-6	-29.1547E-6		38.1295E-6	-38.1377E-6	556.2472E-12	6.0000E+0	3.4828E-6	-73.2823E-6	
22.1400E-6	-22.1484E-6	645.0389E-12	7.0000E+0	1.8938E-6	-25.1905E-6		41.7752E-6	-41.7833E-6	605.0144E-12	7.0000E+0	3.6456E-6	-65.1116E-6	
24.0373E-6	-24.0456E-6	721.2470E-12	8.0000E+0	1.8972E-6	-21.2263E-6		45.5618E-6	-45.5699E-6	678.3420E-12	8.0000E+0	3.7866E-6	-56.9409E-6	
26.0451E-6	-26.0532E-6	767.3864E-12	9.0000E+0	2.0078E-6	-17.2621E-6		49.5495E-6	-49.5576E-6	753.6912E-12	9.0000E+0	3.9877E-6	-48.7702E-6	
28.1197E-6	-28.1279E-6	855.3190E-12	10.0000E+0	2.0746E-6	-13.2979E-6		53.4955E-6	-53.5917E-6	762.0801E-12	10.0000E+0	3.9459E-6	-40.5995E-6	
30.2506E-6	-30.2588E-6	934.2561E-12	11.0000E+0	2.1308E-6	-9.3337E-6		57.7034E-6	-57.7987E-6	907.1183E-12	11.0000E+0	4.2079E-6	-32.4288E-6	
32.4363E-6	-32.4443E-6	1.0367E-9	12.0000E+0	2.1856E-6	-5.3695E-6		62.0428E-6	-62.1383E-6	976.5042E-12	12.0000E+0	4.3393E-6	-24.2581E-6	
34.7115E-6	-34.7194E-6	1.1078E-9	13.0000E+0	2.2751E-6	-1.4053E-6		66.5027E-6	-66.5978E-6	1.0882E-9	13.0000E+0	4.4599E-6	-16.0874E-6	
36.9823E-6	-36.9902E-6	1.1967E-9	14.0000E+0	2.2708E-6	2.5588E-6		71.0212E-6	-71.1158E-6	1.1344E-9	14.0000E+0	4.5184E-6	-7.9167E-6	
39.3436E-6	-39.3514E-6	1.2467E-9	15.0000E+0	2.3612E-6	6.5230E-6		75.7732E-6	-75.8677E-6	1.1924E-9	15.0000E+0	4.7520E-6	253.9309E-9	
41.7601E-6	-41.7678E-6	1.2921E-9	16.0000E+0	2.4164E-6	10.4872E-6		80.5609E-6	-80.6550E-6	1.2443E-9	16.0000E+0	4.7876E-6	8.4246E-6	
44.1955E-6	-44.2031E-6	1.3462E-9	17.0000E+0	2.4354E-6	14.4514E-6		85.4535E-6	-85.5479E-6	1.3892E-9	17.0000E+0	4.8926E-6	16.5953E-6	
46.7040E-6	-46.7116E-6	1.4312E-9	18.0000E+0	2.5085E-6	18.4156E-6		90.4456E-6	-90.5397E-6	1.4207E-9	18.0000E+0	4.9921E-6	24.7660E-6	
49.2685E-6	-49.2761E-6	1.5584E-9	19.0000E+0	2.5645E-6	22.3797E-6		95.5611E-6	-95.6546E-6	1.5206E-9	19.0000E+0	5.1154E-6	32.9367E-6	
51.7174E-6	-51.8091E-6	1.5347E-9	20.0000E+0	2.4489E-6	26.3439E-6		100.7031E-6	-100.7964E-6	1.6291E-9	20.0000E+0	5.1419E-6	41.1074E-6	
54.3753E-6	-54.4675E-6	1.6797E-9	21.0000E+0	2.6578E-6	30.3081E-6		105.9529E-6	-106.0444E-6	1.7158E-9	21.0000E+0	5.2497E-6	49.2781E-6	
57.0863E-6	-57.1789E-6	1.8293E-9	22.0000E+0	2.7109E-6	34.2723E-6		111.3201E-6	-111.4132E-6	1.7054E-9	22.0000E+0	5.3672E-6	57.4488E-6	
59.8207E-6	-59.9129E-6	1.8689E-9	23.0000E+0	2.7344E-6	38.2365E-6		116.7714E-6	-116.8647E-6	1.7830E-9	23.0000E+0	5.4512E-6	65.6195E-6	
62.6472E-6	-62.7392E-6	1.9007E-9	24.0000E+0	2.8264E-6	42.2007E-6		122.3736E-6	-122.4661E-6	1.8648E-9	24.0000E+0	5.6022E-6	73.7902E-6	
65.4939E-6	-65.5852E-6	1.9690E-9	25.0000E+0	2.8467E-6	46.1649E-6		127.9631E-6	-128.0562E-6	1.9640E-9	25.0000E+0	5.5895E-6	81.9609E-6	
