DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
1.0616E-6	-1.0628E-6	-1.8875E-9	-20.0000E+0	#REF	-297.2551E-6	12.4572E+0	2.1815E-6	-2.1827E-6	-1.7476E-9	-20.0000E+0	#REF	-576.4292E-6	11.4849E+0
1.3412E-6	-1.3424E-6	-1.6775E-9	-19.0000E+0	279.5731E-9	-288.0968E-6		2.7682E-6	-2.7694E-6	-1.5945E-9	-19.0000E+0	586.6882E-9	-558.1212E-6	
1.6687E-6	-1.6699E-6	-1.5343E-9	-18.0000E+0	327.5559E-9	-278.9384E-6		3.4277E-6	-3.4289E-6	-1.4735E-9	-18.0000E+0	659.5162E-9	-539.8131E-6	
2.0479E-6	-2.0490E-6	-1.3736E-9	-17.0000E+0	379.1820E-9	-269.7801E-6		4.1955E-6	-4.1967E-6	-1.3448E-9	-17.0000E+0	767.7922E-9	-521.5050E-6	
2.4997E-6	-2.5008E-6	-1.2699E-9	-16.0000E+0	451.8242E-9	-260.6217E-6		5.1012E-6	-5.1107E-6	-1.2760E-9	-16.0000E+0	905.6571E-9	-503.1969E-6	
3.0108E-6	-3.0120E-6	-1.1655E-9	-15.0000E+0	511.1117E-9	-251.4634E-6		6.1560E-6	-6.1655E-6	-1.1630E-9	-15.0000E+0	1.0547E-6	-484.8888E-6	
3.6050E-6	-3.6060E-6	-1.0609E-9	-14.0000E+0	594.1913E-9	-242.3050E-6		7.3762E-6	-7.3857E-6	-1.0402E-9	-14.0000E+0	1.2202E-6	-466.5807E-6	
4.2910E-6	-4.2919E-6	-933.7725E-12	-13.0000E+0	685.9559E-9	-233.1467E-6		8.7678E-6	-8.7772E-6	-958.7360E-12	-13.0000E+0	1.3915E-6	-448.2727E-6	
5.0560E-6	-5.0652E-6	-907.3940E-12	-12.0000E+0	765.0015E-9	-223.9883E-6		10.3533E-6	-10.3625E-6	-843.1155E-12	-12.0000E+0	1.5854E-6	-429.9646E-6	
5.9659E-6	-5.9752E-6	-780.2014E-12	-11.0000E+0	909.9126E-9	-214.8300E-6		12.2321E-6	-12.2413E-6	-746.2429E-12	-11.0000E+0	1.8788E-6	-411.6565E-6	
6.9881E-6	-6.9973E-6	-673.7779E-12	-10.0000E+0	1.0221E-6	-205.6716E-6		14.3040E-6	-14.3131E-6	-638.1013E-12	-10.0000E+0	2.0718E-6	-393.3484E-6	
8.1470E-6	-8.1562E-6	-546.8380E-12	-9.0000E+0	1.1588E-6	-196.5133E-6		16.6799E-6	-16.6889E-6	-585.0918E-12	-9.0000E+0	2.3759E-6	-375.0403E-6	
9.4686E-6	-9.4778E-6	-467.5509E-12	-8.0000E+0	1.3216E-6	-187.3549E-6		19.3862E-6	-19.3950E-6	-521.4196E-12	-8.0000E+0	2.7063E-6	-356.7322E-6	
10.9874E-6	-10.9964E-6	-386.2932E-12	-7.0000E+0	1.5187E-6	-178.1966E-6		22.4797E-6	-22.4885E-6	-440.2629E-12	-7.0000E+0	3.0934E-6	-338.4241E-6	
12.7534E-6	-12.7623E-6	-330.1000E-12	-6.0000E+0	1.7660E-6	-169.0382E-6		25.8902E-6	-25.8989E-6	-341.4195E-12	-6.0000E+0	3.4105E-6	-320.1161E-6	
14.7134E-6	-14.7221E-6	-251.6714E-12	-5.0000E+0	1.9599E-6	-159.8799E-6		29.8601E-6	-29.8687E-6	-275.9787E-12	-5.0000E+0	3.9699E-6	-301.8080E-6	
16.9605E-6	-16.9692E-6	-170.5106E-12	-4.0000E+0	2.2471E-6	-150.7215E-6		34.3748E-6	-34.3832E-6	-210.2319E-12	-4.0000E+0	4.5146E-6	-283.4999E-6	
19.4541E-6	-19.4629E-6	-87.7832E-12	-3.0000E+0	2.4936E-6	-141.5632E-6		39.3874E-6	-39.3957E-6	-109.1094E-12	-3.0000E+0	5.0125E-6	-265.1918E-6	
22.2489E-6	-22.2574E-6	6.5168E-12	-2.0000E+0	2.7947E-6	-132.4048E-6		44.9377E-6	-44.9458E-6	-14.0512E-12	-2.0000E+0	5.5503E-6	-246.8837E-6	
25.2745E-6	-25.2829E-6	81.5122E-12	-1.0000E+0	3.0255E-6	-123.2465E-6		51.0130E-6	-51.1093E-6	-7.5826E-12	-1.0000E+0	6.0752E-6	-228.5756E-6	
28.5770E-6	-28.5853E-6	132.9073E-12	000.0000E-3	3.3024E-6	-114.0881E-6		57.6888E-6	-57.7853E-6	62.1064E-12	000.0000E-3	6.6757E-6	-210.2675E-6	
32.1497E-6	-32.1579E-6	224.3269E-12	1.0000E+0	3.5727E-6	-104.9298E-6		65.0027E-6	-65.0983E-6	158.7818E-12	1.0000E+0	7.3139E-6	-191.9595E-6	
35.8231E-6	-35.8311E-6	293.5611E-12	2.0000E+0	3.6733E-6	-95.7714E-6		72.8241E-6	-72.9205E-6	236.7082E-12	2.0000E+0	7.8214E-6	-173.6514E-6	
39.8406E-6	-39.8487E-6	372.4983E-12	3.0000E+0	4.0175E-6	-86.6130E-6		81.1349E-6	-81.2303E-6	313.2197E-12	3.0000E+0	8.3108E-6	-155.3433E-6	
44.0523E-6	-44.0603E-6	419.0419E-12	4.0000E+0	4.2117E-6	-77.4547E-6		89.7006E-6	-89.7967E-6	398.9792E-12	4.0000E+0	8.5656E-6	-137.0352E-6	
48.2612E-6	-48.2690E-6	496.0083E-12	5.0000E+0	4.2088E-6	-68.2963E-6		98.7933E-6	-98.8874E-6	472.8629E-12	5.0000E+0	9.0927E-6	-118.7271E-6	
52.6490E-6	-52.7426E-6	495.0481E-12	6.0000E+0	4.3877E-6	-59.1380E-6		108.3494E-6	-108.4441E-6	542.1981E-12	6.0000E+0	9.5560E-6	-100.4190E-6	
57.3433E-6	-57.4372E-6	615.3742E-12	7.0000E+0	4.6943E-6	-49.9796E-6		118.0605E-6	-118.1545E-6	608.9562E-12	7.0000E+0	9.7111E-6	-82.1109E-6	
62.0491E-6	-62.1428E-6	703.0541E-12	8.0000E+0	4.7057E-6	-40.8213E-6		128.0718E-6	-128.1655E-6	684.3052E-12	8.0000E+0	10.0113E-6	-63.8028E-6	
66.9886E-6	-67.0825E-6	780.6774E-12	9.0000E+0	4.9395E-6	-31.6629E-6		138.3713E-6	-138.4647E-6	733.3757E-12	9.0000E+0	10.2995E-6	-45.4947E-6	
72.0771E-6	-72.1712E-6	865.6283E-12	10.0000E+0	5.0884E-6	-22.5046E-6		149.1539E-6	-149.2473E-6	824.9975E-12	10.0000E+0	10.7825E-6	-27.1867E-6	
77.2685E-6	-77.3614E-6	944.1107E-12	11.0000E+0	5.1914E-6	-13.3462E-6		160.1674E-6	-160.2604E-6	934.0539E-12	11.0000E+0	11.0135E-6	-8.8786E-6	
82.5856E-6	-82.6780E-6	977.0096E-12	12.0000E+0	5.3171E-6	-4.1879E-6		171.3595E-6	-171.4523E-6	995.5562E-12	12.0000E+0	11.1921E-6	9.4294E-6	
88.1359E-6	-88.2285E-6	1.0656E-9	13.0000E+0	5.5503E-6	4.9704E-6		182.9597E-6	-183.0514E-6	1.0672E-9	13.0000E+0	11.6001E-6	27.7375E-6	
93.7128E-6	-93.8051E-6	1.1534E-9	14.0000E+0	5.5768E-6	14.1287E-6		194.4802E-6	-194.5722E-6	1.1496E-9	14.0000E+0	11.5205E-6	46.0456E-6	
99.3029E-6	-99.3946E-6	1.2428E-9	15.0000E+0	5.5901E-6	23.2871E-6		206.8022E-6	-206.8945E-6	1.2125E-9	15.0000E+0	12.3219E-6	64.3537E-6	
104.7970E-6	-104.8883E-6	1.3484E-9	16.0000E+0	5.4940E-6	32.4454E-6		219.2662E-6	-219.3572E-6	1.2736E-9	16.0000E+0	12.4640E-6	82.6618E-6	
111.0172E-6	-111.1084E-6	1.4152E-9	17.0000E+0	6.2202E-6	41.6038E-6		231.7843E-6	-231.8746E-6	1.3172E-9	17.0000E+0	12.5181E-6	100.9699E-6	
117.0193E-6	-117.1112E-6	1.4807E-9	18.0000E+0	6.0020E-6	50.7621E-6		244.4542E-6	-244.5433E-6	1.4411E-9	18.0000E+0	12.6699E-6	119.2780E-6	
122.9207E-6	-123.0122E-6	1.5224E-9	19.0000E+0	5.9014E-6	59.9205E-6		257.6257E-6	-257.7148E-6	1.5460E-9	19.0000E+0	13.1714E-6	137.5861E-6	
129.2038E-6	-129.2945E-6	1.5892E-9	20.0000E+0	6.2830E-6	69.0788E-6		270.6680E-6	-270.7582E-6	1.6261E-9	20.0000E+0	13.0422E-6	155.8941E-6	
135.6248E-6	-135.7153E-6	1.6526E-9	21.0000E+0	6.4209E-6	78.2372E-6		283.6347E-6	-283.7240E-6	1.6978E-9	21.0000E+0	12.9667E-6	174.2022E-6	
142.0288E-6	-142.1186E-6	1.7772E-9	22.0000E+0	6.4040E-6	87.3955E-6		297.4113E-6	-297.4996E-6	1.7749E-9	22.0000E+0	13.7766E-6	192.5103E-6	
148.5495E-6	-148.6383E-6	1.8811E-9	23.0000E+0	6.5206E-6	96.5539E-6		311.4988E-6	-311.5870E-6	1.8165E-9	23.0000E+0	14.0874E-6	210.8184E-6	
154.9995E-6	-155.0889E-6	1.9619E-9	24.0000E+0	6.4500E-6	105.7123E-6		325.2110E-6	-325.2984E-6	1.8615E-9	24.0000E+0	13.7121E-6	229.1265E-6	
161.8234E-6	-161.9129E-6	2.0456E-9	25.0000E+0	6.8239E-6	114.8706E-6		339.2015E-6	-339.2896E-6	1.9304E-9	25.0000E+0	13.9905E-6	247.4346E-6	
168.6423E-6	-168.7307E-6	2.0895E-9	26.0000E+0	6.8188E-6	124.0290E-6		353.6603E-6	-353.7477E-6	2.0401E-9	26.0000E+0	14.4588E-6	265.7427E-6	
175.6685E-6	-175.7565E-6	2.0979E-9	27.0000E+0	7.0262E-6	133.1873E-6		367.8536E-6	-367.9421E-6	2.1535E-9	27.0000E+0	14.1933E-6	284.0507E-6	
182.4708E-6	-182.5602E-6	2.2019E-9	28.0000E+0	6.8023E-6	142.3457E-6		382.1081E-6	-382.1955E-6	2.2434E-9	28.0000E+0	14.2544E-6	302.3588E-6	
189.5798E-6	-189.6689E-6	2.3250E-9	29.0000E+0	7.1089E-6	151.5040E-6		396.6974E-6	-396.7854E-6	2.3274E-9	29.0000E+0	14.5893E-6	320.6669E-6	
196.5688E-6	-196.6580E-6	2.4166E-9	30.0000E+0	6.9889E-6	160.6624E-6		411.4286E-6	-411.5168E-6	2.3619E-9	30.0000E+0	14.7312E-6	338.9750E-6	
203.7423E-6	-203.8306E-6	2.5324E-9	31.0000E+0	7.1734E-6	169.8207E-6		426.3096E-6	-426.3968E-6	2.4046E-9	31.0000E+0	14.8809E-6	357.2831E-6	
210.6634E-6	-210.7532E-6	2.6396E-9	32.0000E+0	6.9211E-6	178.9791E-6		441.0581E-6	-441.1457E-6	2.4581E-9	32.0000E+0	14.7485E-6	375.5912E-6	
218.1635E-6	-218.2527E-6	2.6132E-9	33.0000E+0	7.5001E-6	188.1374E-6		456.1752E-6	-456.2613E-6	2.5662E-9	33.0000E+0	15.1170E-6	393.8992E-6	
225.5312E-6	-225.6200E-6	2.6852E-9	34.0000E+0	7.3677E-6	197.2958E-6		471.1310E-6	-471.2182E-6	2.7031E-9	34.0000E+0	14.9558E-6	412.2073E-6	
233.0359E-6	-233.1237E-6	2.7176E-9	35.0000E+0	7.5046E-6	206.4541E-6		486.5176E-6	-486.6050E-6	2.8503E-9	35.0000E+0	15.3866E-6	430.5154E-6	
240.4100E-6	-240.4982E-6	2.7673E-9	36.0000E+0	7.3741E-6	215.6125E-6		500.9194E-6	-501.8476E-6	2.8904E-9	36.0000E+0	14.4017E-6	448.8235E-6	
248.0820E-6	-248.1689E-6	2.8860E-9	37.0000E+0	7.6720E-6	224.7708E-6		516.2770E-6	-517.2072E-6	2.9708E-9	37.0000E+0	15.3576E-6	467.1316E-6	
255.7029E-6	-255.7895E-6	3.0169E-9	38.0000E+0	7.6208E-6	233.9292E-6		531.8016E-6	-532.7228E-6	3.0427E-9	38.0000E+0	15.5246E-6	485.4397E-6	
263.4574E-6	-263.5450E-6	3.1735E-9	39.0000E+0	7.7545E-6	243.0875E-6		547.2229E-6	-548.1490E-6	3.1035E-9	39.0000E+0	15.4212E-6	503.7478E-6	
271.0631E-6	-271.1503E-6	3.2760E-9	40.0000E+0	7.6056E-6	252.2459E-6		563.2607E-6	-564.1858E-6	3.1471E-9	40.0000E+0	16.0378E-6	522.0558E-6	
278.8011E-6	-278.8880E-6	3.3279E-9	41.0000E+0	7.7380E-6	261.4042E-6		578.4523E-6	-579.3861E-6	3.1847E-9	41.0000E+0	15.1916E-6	540.3639E-6	
