DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
1.1628E-6	-1.1641E-6	-1.9397E-9	-20.0000E+0	#REF	-148.0137E-6	13.2482E+0	2.2056E-6	-2.2068E-6	-1.7517E-9	-20.0000E+0	#REF	-286.8543E-6	12.7821E+0
1.4177E-6	-1.4189E-6	-1.6698E-9	-19.0000E+0	254.9217E-9	-143.5619E-6		2.6989E-6	-2.7002E-6	-1.5494E-9	-19.0000E+0	493.3556E-9	-278.1040E-6	
1.7006E-6	-1.7019E-6	-1.4974E-9	-18.0000E+0	282.9094E-9	-139.1102E-6		3.2390E-6	-3.2403E-6	-1.3864E-9	-18.0000E+0	540.1102E-9	-269.3536E-6	
2.0178E-6	-2.0191E-6	-1.3316E-9	-17.0000E+0	317.2287E-9	-134.6584E-6		3.8488E-6	-3.8500E-6	-1.3036E-9	-17.0000E+0	609.8146E-9	-260.6033E-6	
2.3681E-6	-2.3694E-6	-1.2177E-9	-16.0000E+0	350.2653E-9	-130.2066E-6		4.5270E-6	-4.5281E-6	-1.2374E-9	-16.0000E+0	678.1447E-9	-251.8530E-6	
2.7572E-6	-2.7584E-6	-1.1264E-9	-15.0000E+0	389.0962E-9	-125.7548E-6		5.2726E-6	-5.2820E-6	-1.1384E-9	-15.0000E+0	745.5856E-9	-243.1026E-6	
3.1897E-6	-3.1907E-6	-1.0776E-9	-14.0000E+0	432.4879E-9	-121.3030E-6		6.1215E-6	-6.1308E-6	-982.6383E-12	-14.0000E+0	848.8792E-9	-234.3523E-6	
3.6655E-6	-3.6666E-6	-956.2093E-12	-13.0000E+0	475.7896E-9	-116.8513E-6		7.0466E-6	-7.0560E-6	-915.6816E-12	-13.0000E+0	925.1130E-9	-225.6020E-6	
4.1898E-6	-4.1909E-6	-834.2216E-12	-12.0000E+0	524.3280E-9	-112.3995E-6		8.0702E-6	-8.0795E-6	-860.0443E-12	-12.0000E+0	1.0236E-6	-216.8517E-6	
4.7566E-6	-4.7578E-6	-747.8094E-12	-11.0000E+0	566.8426E-9	-107.9477E-6		9.1844E-6	-9.1935E-6	-804.1542E-12	-11.0000E+0	1.1141E-6	-208.1013E-6	
5.3585E-6	-5.3676E-6	-713.1940E-12	-10.0000E+0	601.8763E-9	-103.4959E-6		10.3794E-6	-10.3886E-6	-703.4916E-12	-10.0000E+0	1.1949E-6	-199.3510E-6	
6.0452E-6	-6.0543E-6	-611.8240E-12	-9.0000E+0	686.6990E-9	-99.0441E-6		11.7038E-6	-11.7129E-6	-584.7886E-12	-9.0000E+0	1.3244E-6	-190.6007E-6	
6.7983E-6	-6.8073E-6	-493.8789E-12	-8.0000E+0	753.0725E-9	-94.5923E-6		13.1637E-6	-13.1728E-6	-490.5942E-12	-8.0000E+0	1.4599E-6	-181.8503E-6	
7.6220E-6	-7.6310E-6	-386.4953E-12	-7.0000E+0	823.7603E-9	-90.1405E-6		14.7458E-6	-14.7548E-6	-377.5509E-12	-7.0000E+0	1.5820E-6	-173.1000E-6	
8.5140E-6	-8.5229E-6	-326.0068E-12	-6.0000E+0	891.9064E-9	-85.6887E-6		16.4645E-6	-16.4733E-6	-332.7783E-12	-6.0000E+0	1.7187E-6	-164.3497E-6	
9.4810E-6	-9.4899E-6	-242.3728E-12	-5.0000E+0	967.0557E-9	-81.2370E-6		18.3284E-6	-18.3372E-6	-267.8428E-12	-5.0000E+0	1.8639E-6	-155.5994E-6	
10.5503E-6	-10.5593E-6	-178.3942E-12	-4.0000E+0	1.0693E-6	-76.7852E-6		20.3886E-6	-20.3973E-6	-198.5581E-12	-4.0000E+0	2.0602E-6	-146.8490E-6	
