DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
31.5567E-6	-31.5652E-6	805.3390E-12	9.0000E+0	2.4172E-6	-25.2905E-6		61.1384E-6	-61.2360E-6	752.6299E-12	9.0000E+0	4.9055E-6	-47.2547E-6	
34.1138E-6	-34.1220E-6	864.7187E-12	10.0000E+0	2.5570E-6	-20.4701E-6		66.2712E-6	-66.3681E-6	845.2118E-12	10.0000E+0	5.1327E-6	-37.6832E-6	
36.7030E-6	-36.7112E-6	934.6605E-12	11.0000E+0	2.5892E-6	-15.6498E-6		71.4688E-6	-71.5653E-6	897.3144E-12	11.0000E+0	5.1976E-6	-28.1116E-6	
39.3731E-6	-39.3813E-6	1.0138E-9	12.0000E+0	2.6701E-6	-10.8294E-6		76.7500E-6	-76.8462E-6	967.0540E-12	12.0000E+0	5.2811E-6	-18.5401E-6	
42.0782E-6	-42.0864E-6	1.0600E-9	13.0000E+0	2.7050E-6	-6.0091E-6		82.2624E-6	-82.3575E-6	1.0128E-9	13.0000E+0	5.5124E-6	-8.9685E-6	
44.8378E-6	-44.8460E-6	1.1356E-9	14.0000E+0	2.7596E-6	-1.1887E-6		87.9235E-6	-88.0197E-6	1.1138E-9	14.0000E+0	5.6610E-6	602.9732E-9	
47.6983E-6	-47.7063E-6	1.2169E-9	15.0000E+0	2.8604E-6	3.6315E-6		93.6388E-6	-93.7337E-6	1.2189E-9	15.0000E+0	5.7152E-6	10.1745E-6	
50.4666E-6	-50.5624E-6	1.2607E-9	16.0000E+0	2.7683E-6	8.4518E-6		99.4499E-6	-99.5457E-6	1.3001E-9	16.0000E+0	5.8111E-6	19.7460E-6	
53.4093E-6	-53.5047E-6	1.3824E-9	17.0000E+0	2.9427E-6	13.2722E-6		105.4334E-6	-105.5280E-6	1.3907E-9	17.0000E+0	5.9834E-6	29.3176E-6	
56.4917E-6	-56.5862E-6	1.4585E-9	18.0000E+0	3.0823E-6	18.0925E-6		111.4792E-6	-111.5746E-6	1.4555E-9	18.0000E+0	6.0457E-6	38.8891E-6	
59.5438E-6	-59.6384E-6	1.5595E-9	19.0000E+0	3.0521E-6	22.9129E-6		117.7080E-6	-117.8037E-6	1.5246E-9	19.0000E+0	6.2288E-6	48.4607E-6	
62.6807E-6	-62.7759E-6	1.6102E-9	20.0000E+0	3.1369E-6	27.7332E-6		123.9145E-6	-124.0096E-6	1.5377E-9	20.0000E+0	6.2065E-6	58.0322E-6	
65.8730E-6	-65.9676E-6	1.6814E-9	21.0000E+0	3.1923E-6	32.5536E-6		130.3960E-6	-130.4910E-6	1.6269E-9	21.0000E+0	6.4814E-6	67.6038E-6	
69.0643E-6	-69.1585E-6	1.6911E-9	22.0000E+0	3.1913E-6	37.3739E-6		136.8795E-6	-136.9735E-6	1.7416E-9	22.0000E+0	6.4835E-6	77.1753E-6	
72.3425E-6	-72.4358E-6	1.7929E-9	23.0000E+0	3.2781E-6	42.1943E-6		143.5532E-6	-143.6466E-6	1.8532E-9	23.0000E+0	6.6737E-6	86.7469E-6	
75.6610E-6	-75.7547E-6	1.9314E-9	24.0000E+0	3.3185E-6	47.0146E-6		150.1551E-6	-150.2491E-6	1.9669E-9	24.0000E+0	6.6018E-6	96.3184E-6	
79.1104E-6	-79.2034E-6	2.0285E-9	25.0000E+0	3.4493E-6	51.8349E-6		157.0066E-6	-157.1013E-6	2.0125E-9	25.0000E+0	6.8515E-6	105.8900E-6	
82.4585E-6	-82.5519E-6	2.1325E-9	26.0000E+0	3.3481E-6	56.6553E-6		163.8198E-6	-163.9149E-6	2.0406E-9	26.0000E+0	6.8131E-6	115.4616E-6	
85.9145E-6	-86.0076E-6	2.1866E-9	27.0000E+0	3.4559E-6	61.4756E-6		170.8487E-6	-170.9419E-6	2.1197E-9	27.0000E+0	7.0289E-6	125.0331E-6	
89.3961E-6	-89.4884E-6	2.2187E-9	28.0000E+0	3.4816E-6	66.2960E-6		177.8827E-6	-177.9768E-6	2.1593E-9	28.0000E+0	7.0340E-6	134.6047E-6	
92.9275E-6	-93.0204E-6	2.2901E-9	29.0000E+0	3.5314E-6	71.1163E-6		185.0480E-6	-185.1420E-6	2.2694E-9	29.0000E+0	7.1653E-6	144.1762E-6	
96.5081E-6	-96.6017E-6	2.3480E-9	30.0000E+0	3.5806E-6	75.9367E-6		192.3241E-6	-192.4178E-6	2.4007E-9	30.0000E+0	7.2761E-6	153.7478E-6	
100.1448E-6	-100.2372E-6	2.4534E-9	31.0000E+0	3.6366E-6	80.7570E-6		199.6869E-6	-199.7794E-6	2.5403E-9	31.0000E+0	7.3627E-6	163.3193E-6	
103.8402E-6	-103.9320E-6	2.5796E-9	32.0000E+0	3.6954E-6	85.5774E-6		207.1029E-6	-207.1958E-6	2.6001E-9	32.0000E+0	7.4160E-6	172.8909E-6	
107.4999E-6	-107.5909E-6	2.7320E-9	33.0000E+0	3.6596E-6	90.3977E-6		214.5125E-6	-214.6046E-6	2.6526E-9	33.0000E+0	7.4096E-6	182.4624E-6	
111.2944E-6	-111.3864E-6	2.7569E-9	34.0000E+0	3.7944E-6	95.2180E-6		222.0702E-6	-222.1636E-6	2.6994E-9	34.0000E+0	7.5576E-6	192.0340E-6	
115.0263E-6	-115.1177E-6	2.7953E-9	35.0000E+0	3.7319E-6	100.0384E-6		229.5225E-6	-229.6149E-6	2.6830E-9	35.0000E+0	7.4522E-6	201.6056E-6	
118.7974E-6	-118.8886E-6	2.8792E-9	36.0000E+0	3.7710E-6	104.8588E-6		237.4935E-6	-237.5852E-6	2.8150E-9	36.0000E+0	7.9710E-6	211.1771E-6	
122.5768E-6	-122.6673E-6	2.8972E-9	37.0000E+0	3.7793E-6	109.6791E-6		245.2350E-6	-245.3265E-6	2.9198E-9	37.0000E+0	7.7414E-6	220.7487E-6	
126.6583E-6	-126.7491E-6	2.9541E-9	38.0000E+0	4.0815E-6	114.4995E-6		253.0750E-6	-253.1666E-6	3.0718E-9	38.0000E+0	7.8400E-6	230.3202E-6	
130.5881E-6	-130.6787E-6	3.1188E-9	39.0000E+0	3.9298E-6	119.3198E-6		260.8404E-6	-260.9314E-6	3.2159E-9	39.0000E+0	7.7653E-6	239.8918E-6	
134.5882E-6	-134.6785E-6	3.3018E-9	40.0000E+0	4.0001E-6	124.1401E-6		268.6433E-6	-268.7343E-6	3.2566E-9	40.0000E+0	7.8029E-6	249.4633E-6	
138.5431E-6	-138.6320E-6	3.3360E-9	41.0000E+0	3.9548E-6	128.9605E-6		276.7711E-6	-276.8620E-6	3.2428E-9	41.0000E+0	8.1277E-6	259.0349E-6	
142.3493E-6	-142.4399E-6	3.3882E-9	42.0000E+0	3.8061E-6	133.7808E-6		284.7111E-6	-284.8025E-6	3.2998E-9	42.0000E+0	7.9399E-6	268.6064E-6	
146.3807E-6	-146.4697E-6	3.4193E-9	43.0000E+0	4.0314E-6	138.6012E-6		292.8794E-6	-292.9705E-6	3.2922E-9	43.0000E+0	8.1683E-6	278.1780E-6	
150.4446E-6	-150.5335E-6	3.4623E-9	44.0000E+0	4.0638E-6	143.4215E-6		301.0016E-6	-301.0932E-6	3.4874E-9	44.0000E+0	8.1221E-6	287.7495E-6	
154.5702E-6	-154.6607E-6	3.4930E-9	45.0000E+0	4.1256E-6	148.2419E-6		309.3236E-6	-309.4142E-6	3.6222E-9	45.0000E+0	8.3220E-6	297.3211E-6	
158.8085E-6	-158.8988E-6	3.5887E-9	46.0000E+0	4.2382E-6	153.0622E-6		317.4364E-6	-317.5283E-6	3.7468E-9	46.0000E+0	8.1128E-6	306.8926E-6	
162.9747E-6	-163.0642E-6	3.7810E-9	47.0000E+0	4.1662E-6	157.8826E-6		325.7839E-6	-325.8746E-6	3.8837E-9	47.0000E+0	8.3474E-6	316.4642E-6	
167.0729E-6	-167.1622E-6	3.8962E-9	48.0000E+0	4.0981E-6	162.7029E-6		333.9751E-6	-334.0651E-6	3.9020E-9	48.0000E+0	8.1911E-6	326.0357E-6	
171.2851E-6	-171.3740E-6	4.0206E-9	49.0000E+0	4.2122E-6	167.5232E-6		342.3648E-6	-342.4555E-6	3.9611E-9	49.0000E+0	8.3897E-6	335.6073E-6	
175.4675E-6	-175.5556E-6	4.0423E-9	50.0000E+0	4.1823E-6	172.3436E-6		350.9667E-6	-351.0570E-6	3.8284E-9	50.0000E+0	8.6018E-6	345.1788E-6	
179.6041E-6	-179.6941E-6	4.1242E-9	51.0000E+0	4.1366E-6	177.1639E-6		359.5064E-6	-359.5961E-6	3.9869E-9	51.0000E+0	8.5397E-6	354.7504E-6	
