GateV Before AlOx,DrainI Before AlOx,GateV After AlOx,DrainI After AlOx,GateV after 21 months,DrainI after 21 months,GateV after 21mo + N2 anneal,DrainI after 21mo + N2 anneal
31.0052,6.49150360518631E-08,21.0016,2.3802580392879E-05,11,2.39508928801945E-05,11,1.7788310208783E-05
32.005,6.38552955439556E-08,22.0015,2.5494027004638E-05,12,2.5451065638386E-05,12,1.95714275595611E-05
33.0048,7.3903154513929E-08,23.0015,2.73261273674586E-05,13,2.71551012385475E-05,13,2.14578983065186E-05
34.0037,8.49052970925581E-08,24.0017,2.91926730626627E-05,14,2.81728305550211E-05,14,2.32451550444872E-05
35.0035,1.07953190348306E-07,25.0014,3.13108340260046E-05,15,2.93689283906766E-05,15,2.53576470878097E-05
36.0033,1.18705506101042E-07,26.0015,3.31587184716583E-05,16,3.05339389065604E-05,16,2.73244950221851E-05
37.0035,1.28243300423492E-07,27.0018,3.484049596844E-05,17,3.1902081505193E-05,17,2.94485083862167E-05
38.0034,1.43857199003358E-07,28.0018,3.65786906078701E-05,18,3.34245566552019E-05,18,3.14284135010498E-05
39.0033,1.42187225858082E-07,29.0016,3.85630182395487E-05,19,3.50783470228476E-05,19,3.35947634480165E-05
40.0033,1.47341231003457E-07,30.0015,4.05973380269564E-05,20,3.64623765167578E-05,20,3.59217380679658E-05
41.0036,1.56695507583841E-07,31.0051,4.24910451882802E-05,21,3.78005769680781E-05,21,3.81201243726537E-05
42.0037,1.74700549292617E-07,32.0048,4.41503304856546E-05,22,3.91096008293655E-05,22,4.04365235463838E-05
43.004,1.90820687946499E-07,33.0047,4.60262178777434E-05,23,3.99383766900586E-05,23,4.275337193141E-05
44.0044,2.11589024176014E-07,34.0036,4.78548273626391E-05,24,4.13111790650241E-05,24,4.51666742067217E-05
45.0046,2.26629471517694E-07,35.0034,4.97089185164836E-05,25,4.28422050469596E-05,25,4.76092068508834E-05
46.0048,2.50154466416659E-07,36.0032,5.16381703124827E-05,26,4.40393341705203E-05,26,4.98208891772463E-05
47.0048,2.61768095895051E-07,37.0034,5.33077147100931E-05,27,4.57741217637111E-05,27,5.21003802651135E-05
48.0038,2.58442385173744E-07,38.0033,5.5188992637736E-05,28,4.67825441813582E-05,28,5.43624185450861E-05
49.0039,2.6214420161167E-07,39.0031,5.71016900484329E-05,29,4.80146295360654E-05,29,5.66681062438242E-05
50.0041,2.88335474144095E-07,40.0032,5.85615824725803E-05,30,4.90325739678076E-05,30,5.91502264243267E-05
51.0044,3.01247011876789E-07,41.0036,6.04572667962993E-05,31,5.04997866380069E-05,31,6.14197937387001E-05
52.0046,3.18570859354108E-07,42.0035,6.24572883522057E-05,32,5.21721370244885E-05,32,6.381992969419E-05
53.0047,3.43468845249331E-07,43.004,6.42134640973223E-05,33,5.30551409136261E-05,33,6.5973524571113E-05
54.0049,3.62470932882191E-07,44.0042,6.57744796784676E-05,34,5.50816058302703E-05,34,6.8465008592719E-05
55.0049,3.80990914179521E-07,45.0045,6.73494967328304E-05,35,5.59997177966263E-05,35,7.06827584350401E-05
56.0048,3.65474044844197E-07,46.0047,6.91760784399736E-05,36,5.65925375153513E-05,36,7.29904770749905E-05
57.0081,3.80683910288613E-07,47.0047,7.07079712099031E-05,37,5.81315037814657E-05,37,7.50387413933387E-05
58.0081,4.12456020255733E-07,48.0035,7.20189405989874E-05,38,6.03859054694033E-05,38,7.71439037002299E-05
59.008,4.46646224546661E-07,49.0037,7.38381894062395E-05,39,6.20128918418904E-05,39,7.90715389682547E-05
60.008,4.73129375677672E-07,50.0038,7.58349525985186E-05,40,6.25829030152248E-05,40,8.11116289063964E-05
,,51.0042,7.73443088806032E-05,41,6.41814878453379E-05,41,8.32097430247813E-05
,,52.0042,7.87263801928772E-05,42,6.49726944570632E-05,42,8.52206152479124E-05
